Median PLT survey	Median PLT	p25 PLT	p75 PLT	p95 PLT	Positive	Negative	Neutral	Week
1332	1296	764	2191	5780	37434	4457	4412	1
1458	1399	828	2355	6625	57920	7993	7770	2
1534	1461	866	2463	7429	61580	9394	8897	3
1558	1488	876	2527	8157.35	64978	10126	9057	4
1582	1499	881	2535	7757	63396	9770	9381	5
1628	1544	911	2614	8020.8	63364	10264	9530	6
1648	1569	936	2640	8030	61936	9921	9518	7
1631	1556	924	2617	7871	60202	9775	9378	8
1722	1648	995	2698	8042	60406	9475	9260	9
1643	1562	928	2621	8205	62933	10020	9940	10
1659	1569	932	2631	8177	60261	9619	9259	11
1771	1670	976	2848	8710.2	69859	10649	10337	12
1759	1635	941	2858	9125	90157	14033	13303	13
1697	1576	911	2753	8614	92335	13898	13471	14
1633	1491	867	2570	7764	87994	11584	11162	15
1662	1528	882	2669	8308	90715	12729	12275	16
1680	1554	898	2712	8375	102168	15509	15023	17
1702	1573	909	2745	8451	96743	14666	14093	18
1693	1569	908	2727	8353	94386	14450	14215	19
1759	1621	926	2831	8551	93220	14569	14021	20
1752	1608	923	2745	8306	90304	13891	13667	21
1740	1599	919	2725	8205	87487	13529	13091	22
1729	1601	926	2699	8055	87508	13705	13224	23
1743	1608	934	2706	7978	81189	12098	11898	24
1719	1595	920	2675	7780	73354	10485	10441	25
1710	1586	914	2650	7601	70775	9614	9525	26
1745	1598	929	2648	7453	66361	8812	8789	27
1737	1592	930	2620	7281	65052	8659	8668	28
1706	1563	909	2582	7207	64718	8553	8558	29
1699	1560	915	2574	7142	63101	8527	8256	30
1690	1570	926	2586	7106	61427	8143	7991	31
1683	1558	899	2603	7164	64772	8456	8394	32
1692	1566	911	2601	7099	64838	8557	8630	33
1687	1552	904	2576	6954	66823	8834	8792	34
1687	1556	901	2601	7029	69619	9633	9588	35
1759	1598	920	2669	7063	65342	9515	9363	36
1745	1591	916	2664	7132	64787	9661	9441	37
1739	1585	920	2641	7064	65231	9509	9121	38
1743	1603	929	2689	7212	68359	10314	10176	39
1732	1594	937	2653	7131	69089	10660	10423	40
1688	1569	922	2626	7137	69134	10368	10327	41
1720	1595	939	2675	7547	70562	10833	10548	42
1731	1602	946	2681	7501	70369	10934	10763	43
1716	1590	931	2676	7515	69495	10863	10676	44
1673	1522	885	2572	7143	70596	10368	10311	45
1675	1543	908	2615	7563.7	71241	10596	10538	46
1629	1495	879	2515	7043.25	70527	10287	10342	47
