Median PLT survey	Median PLT	p25 PLT	p75 PLT	p95 PLT	Positive	Negative	Neutral	Week
895	889	533	1553	4321.05	1512	195	159	1
952	956	575	1673.75	4748.15	2111	290	223	2
983	990	596	1752	5132.8	1979	270	192	3
1037.5	988	597	1756	5853	1870	297	231	4
1016	978	589	1722	4992	1929	299	254	5
1062	1014	609	1787	5036.75	1868	272	208	6
1097.5	1061	635	1840	5087	1746	250	186	7
1070	1064	643	1848	5172	1618	239	172	8
1238.5	1215	719	2058	5567	1664	238	188	9
1053.5	1039	630	1818	5183	1708	256	154	10
1085	1022	620.75	1804	5349	1528	235	190	11
1122	1078	642	1896	5467	1886	254	172	12
1050	1026	612	1814	5033	2149	288	224	13
1053	996	590	1757	4918.2	2319	325	221	14
1048.5	988	586	1744	4871	2449	298	231	15
1005	975	574	1719	4689	2500	302	245	16
1000	931	549	1638	4501	2443	268	223	17
990	972	571	1714	4692.3	2623	331	237	18
968.5	958	564	1682	4552	2440	301	225	19
1026	1005	585	1765	4804.75	2368	264	216	20
996	972	570	1696	4594	2214	238	235	21
1031	1010	594	1758	4680	2124	252	213	22
1004	985	583	1712	4583.05	2157	254	189	23
1072.5	1026	603	1779	4788	2065	254	209	24
1023.5	1024	601	1768	4718.6	2094	241	215	25
984	954	565	1657	4585	1913	241	171	26
1022	1009	594	1732	4701.95	1806	214	177	27
980	983	580	1707	4736.3	1701	219	153	28
1057	981	574	1715	4777.15	1835	244	188	29
1030	968	574	1674	4670	1858	213	174	30
985.5	958	573	1678	4614	1791	213	172	31
1008.5	1002	591	1751	4924.6	1774	200	154	32
1018	989	580	1727	4866	1809	236	200	33
1007	968	567	1692	4782.7	1975	256	188	34
917	928	543	1635	4470	1890	235	192	35
987	978	572	1686	4534.75	1751	216	158	36
978	965	569	1671	4549	1846	240	165	37
1031	991	581	1715	4652.1	1847	255	191	38
1025	989	583	1717	4641	1868	250	219	39
1066	1002	595	1726	4708.2	1882	278	198	40
1103	988	590	1701	4686.65	1742	300	180	41
1069	1021	603	1756	4835.3	1657	284	171	42
1035	995	585	1713	4624	1767	253	171	43
1011	962	568	1656	4471	2006	272	190	44
968	919	537	1602	4308	2291	296	197	45
1013	957	559	1669	4427	2417	294	222	46
1025	947	558	1625	4365	2333	301	231	47
