Median PLT survey	Median PLT	p25 PLT	p75 PLT	p95 PLT	Positive	Negative	Neutral	Week
1075	1104	671	1849	4916	32971	3568	2296	1
1122	1158	707	1939	5204	49091	5652	3646	2
1209	1241	761	2075	5618	48681	6176	3767	3
1227	1252	767	2105	6015	48681	6699	3843	4
1192	1219	748	2030	5458	47251	5988	3648	5
1230	1248	763	2082	5561	45290	5671	3503	6
1237	1256	775	2085	5615	43099	5363	3295	7
1232	1253	772	2082	5593	41188	5148	3235	8
1415	1441	863	2344	5903	41721	5359	3300	9
1221	1235	765	2046	5493	39996	4974	3034	10
1233	1263	779	2090	5545	42408	5307	3396	11
1248	1272	787	2113	5626	41596	5055	3093	12
1224	1253	773	2101	5607	43279	5276	3062	13
1220	1240	763	2082	5643	47225	5652	3383	14
1261	1281	791	2139	5730	54036	7050	4049	15
1282	1289	795	2143	5679	54104	7136	4245	16
1244	1256	773	2091	5518	55740	7133	4198	17
1252	1253	772	2088	5523	50936	6351	3938	18
1249	1249	763	2082	5452	51974	6383	3890	19
1377	1367	827	2255	5746	52205	6755	4190	20
1249	1257	762	2095	5459	49507	6273	3965	21
1178	1201	729	2009	5279	43854	5008	3248	22
1213	1227	749	2046	5314.4	37853	4263	2672	23
1187	1209	739	2013	5312	38293	4134	2649	24
1227	1242	762	2058	5375	36205	4113	2530	25
1210	1223	750	2038	5393	35220	4094	2449	26
1202	1216	744	2017	5314	36595	4101	2548	27
1224	1231	749	2049	5522	36772	4246	2606	28
1219	1233	750	2046	5538	36339	4010	2440	29
1179	1192	725	1977	5339	36840	4027	2514	30
1216	1222	745	2030	5410	35934	4025	2377	31
1221	1238	748	2065	5510	35373	3968	2379	32
1195	1195	718	2008	5390	35359	3931	2328	33
1190	1200	723	2010	5257	36588	4061	2437	34
1177	1189	716	1995	5286	36841	4099	2538	35
1249	1254	757	2080	5498	36481	4381	2619	36
1255	1251	753	2072	5453	38366	4804	2876	37
1290	1283	773	2121	5550	38695	4851	2942	38
1268	1261	762	2096	5462	38442	4865	2913	39
1322	1313	801	2157	5507	38232	4898	2947	40
1319	1304	797	2142	5449	38097	4814	2923	41
1313	1299	793	2141	5509	37985	4857	3028	42
1316	1310	798	2152	5531	38723	4734	2961	43
1315	1304	798	2143	5461	38546	4691	2940	44
1214	1213	738	2011	5161	42397	4993	2995	45
1284.5	1261	768	2081	5264	40676	5079	3065	46
1239	1224	751	2023	5205	41003	5160	3100	47
